epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,372.556,0.90628,1.21858,1.1195,0.83068,0.77198,0.85235,0.62223,0.88131,1.3499,0.97224,0.000539275,0.000539275,0.000539275
43,381.487,0.92418,1.2465,1.10315,0.85638,0.84119,0.86133,0.6396,0.88899,1.28258,0.96391,0.000511769,0.000511769,0.000511769
44,389.833,0.83756,1.08051,1.06538,0.83583,0.84508,0.85523,0.66954,0.84502,1.28936,0.95534,0.000484263,0.000484263,0.000484263
45,398.251,0.83372,1.04308,1.07524,0.85868,0.77473,0.84458,0.65274,0.84588,1.29068,0.94863,0.000456758,0.000456758,0.000456758
46,406.491,0.83335,1.12535,1.09564,0.77355,0.82204,0.86543,0.64542,0.87505,1.2823,0.95807,0.000429253,0.000429253,0.000429253
47,415.022,0.85088,1.10823,1.10513,0.77804,0.88085,0.86956,0.63671,0.90455,1.30382,0.96275,0.000401747,0.000401747,0.000401747
48,423.552,0.78991,0.98894,1.06625,0.7364,0.88736,0.87239,0.65124,0.87686,1.29496,0.95588,0.000374242,0.000374242,0.000374242
49,432.05,0.77627,1.05992,1.03151,0.8654,0.8349,0.88989,0.66733,0.84796,1.23316,0.94818,0.000346736,0.000346736,0.000346736
50,441.092,0.8101,0.97857,1.0195,0.87034,0.84496,0.88938,0.68864,0.80356,1.12438,0.92814,0.000319231,0.000319231,0.000319231
51,449.617,0.6151,1.06848,0.93562,0.85997,0.91146,0.90767,0.69654,0.77033,1.17732,0.92109,0.000291725,0.000291725,0.000291725
52,457.729,0.61999,1.11261,0.97954,0.80191,0.88462,0.88969,0.68954,0.78473,1.20748,0.91478,0.00026422,0.00026422,0.00026422
53,466.036,0.62997,1.08576,0.99023,0.88782,0.84585,0.89996,0.67812,0.80501,1.2021,0.91286,0.000236714,0.000236714,0.000236714
54,474.169,0.60444,1.04098,0.93629,0.93703,0.91869,0.90797,0.68982,0.82559,1.22471,0.91695,0.000209209,0.000209209,0.000209209
55,483.015,0.60137,1.04688,0.94198,0.92283,0.90366,0.9074,0.72926,0.80031,1.23627,0.91477,0.000181703,0.000181703,0.000181703
56,491.493,0.58104,0.95799,0.95253,0.94926,0.90188,0.91598,0.71842,0.78284,1.20407,0.90911,0.000154198,0.000154198,0.000154198
57,499.648,0.56857,1.03548,0.97024,0.9504,0.89181,0.91397,0.72736,0.7675,1.18878,0.906,0.000126692,0.000126692,0.000126692
58,507.805,0.56529,0.97832,0.9524,0.91699,0.87937,0.91071,0.73021,0.751,1.12656,0.90015,9.91865e-05,9.91865e-05,9.91865e-05
59,516.664,0.53779,0.96925,0.92159,0.90909,0.88835,0.90986,0.72658,0.75434,1.10522,0.90052,7.1681e-05,7.1681e-05,7.1681e-05
60,524.499,0.53185,0.93017,0.90331,0.90735,0.88462,0.90131,0.72335,0.75802,1.09181,0.90307,4.41755e-05,4.41755e-05,4.41755e-05
