epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.804,1.00246,1.25171,1.17759,0.56612,0.66758,0.5057,0.2385,1.60485,2.75639,1.51817,0.00144145,0.00144145,0.00144145
43,123.483,0.98412,1.22945,1.11656,0.79931,0.62098,0.61746,0.34408,1.39811,2.18953,1.40147,0.00143595,0.00143595,0.00143595
44,126.151,0.93865,1.13562,1.12103,0.64287,0.74451,0.71713,0.39519,1.31829,2.28391,1.33238,0.00143045,0.00143045,0.00143045
45,128.934,0.93115,1.097,1.12414,0.55177,0.73403,0.65163,0.34858,1.38516,2.28552,1.39524,0.00142495,0.00142495,0.00142495
46,131.602,0.9219,1.15153,1.09859,0.66813,0.47802,0.63151,0.36118,1.37169,2.30805,1.42104,0.00141945,0.00141945,0.00141945
47,134.235,0.98454,1.20562,1.15218,0.75883,0.50636,0.67297,0.3809,1.30233,2.36485,1.39579,0.00141395,0.00141395,0.00141395
48,136.858,0.94939,1.18455,1.12321,0.56549,0.52662,0.56772,0.30624,1.32847,2.62271,1.52478,0.00140845,0.00140845,0.00140845
49,139.461,0.98705,1.13737,1.15271,0.65355,0.63445,0.72278,0.39516,1.36634,2.22855,1.56926,0.00140295,0.00140295,0.00140295
50,142.072,0.96705,1.11135,1.12562,0.5805,0.522,0.57536,0.33931,1.30322,2.53644,1.5226,0.00139745,0.00139745,0.00139745
51,144.772,0.99511,1.08349,1.15058,0.47489,0.70879,0.6009,0.34269,1.31625,2.52397,1.47151,0.00139195,0.00139195,0.00139195
52,147.494,0.97387,1.05841,1.16798,0.50587,0.5989,0.55219,0.31739,1.26186,2.58482,1.46018,0.00138644,0.00138644,0.00138644
53,150.139,0.93166,1.01593,1.09875,0.63371,0.68031,0.6075,0.31477,1.21754,2.47342,1.43706,0.00138094,0.00138094,0.00138094
54,152.797,0.96496,1.09721,1.11803,0.71621,0.66672,0.70706,0.35537,1.35741,2.19428,1.47134,0.00137544,0.00137544,0.00137544
55,155.476,0.97863,1.08031,1.11869,0.68619,0.5989,0.62252,0.31357,1.47314,2.28285,1.56294,0.00136994,0.00136994,0.00136994
56,158.09,0.93104,1.02644,1.12957,0.755,0.78605,0.76382,0.43666,1.19321,2.00514,1.28886,0.00136444,0.00136444,0.00136444
57,160.676,0.93248,1.05846,1.12004,0.86259,0.73362,0.86008,0.55828,1.1401,1.65664,1.21361,0.00135894,0.00135894,0.00135894
58,163.372,0.791,0.91532,1.04358,0.78235,0.80478,0.84556,0.53416,1.07078,1.58589,1.16961,0.00135344,0.00135344,0.00135344
59,166.036,0.84935,0.94383,1.03526,0.77118,0.6955,0.79168,0.50602,1.08841,1.68638,1.12941,0.00134794,0.00134794,0.00134794
60,168.715,0.90896,0.95441,1.10554,0.88083,0.80305,0.85264,0.53012,1.16588,1.44785,1.19752,0.00134244,0.00134244,0.00134244
61,171.386,0.93855,1.03972,1.10543,0.87541,0.80727,0.82109,0.52845,1.22611,1.36231,1.26328,0.00133693,0.00133693,0.00133693
62,174.051,0.83971,0.93606,1.05473,0.82979,0.76946,0.85133,0.54729,1.23439,1.40666,1.21816,0.00133143,0.00133143,0.00133143
63,176.73,0.8265,0.92249,1.06255,0.75721,0.78022,0.86361,0.57786,1.18946,1.40625,1.17026,0.00132593,0.00132593,0.00132593
64,179.309,0.86763,0.91948,1.09576,0.79493,0.89977,0.89,0.60207,1.12317,1.28924,1.15128,0.00132043,0.00132043,0.00132043
65,181.871,0.85789,0.89734,1.08777,0.84844,0.86192,0.88652,0.61812,1.09008,1.25012,1.13171,0.00131493,0.00131493,0.00131493
66,184.509,0.88322,0.93939,1.09523,0.88074,0.86264,0.90466,0.6246,1.01819,1.24862,1.10063,0.00130943,0.00130943,0.00130943
67,187.248,0.8316,0.85271,1.02686,0.91254,0.71131,0.89765,0.64933,0.89772,1.23222,1.03625,0.00130393,0.00130393,0.00130393
68,189.858,0.86622,0.91919,1.0708,0.70114,0.79015,0.85234,0.68296,0.76955,1.29988,1.01453,0.00129843,0.00129843,0.00129843
69,192.5,0.86483,0.95831,1.10741,0.6212,0.81319,0.74714,0.5931,0.81807,1.43703,1.04238,0.00129293,0.00129293,0.00129293
70,195.103,0.87842,0.89921,1.09252,0.69803,0.74176,0.75624,0.52768,0.99112,1.52834,1.12861,0.00128742,0.00128742,0.00128742
71,197.725,0.86561,0.8988,1.06751,0.60735,0.72216,0.71742,0.46816,1.11679,1.68585,1.20455,0.00128192,0.00128192,0.00128192
72,200.281,0.76237,0.86843,1.03713,0.54173,0.5989,0.58793,0.30832,1.30176,2.05199,1.33358,0.00127642,0.00127642,0.00127642
73,202.848,0.88159,0.91824,1.09711,0.52065,0.72497,0.65617,0.33142,1.28121,1.88778,1.34078,0.00127092,0.00127092,0.00127092
74,205.432,0.89553,0.9109,1.07477,0.52077,0.71309,0.68375,0.34141,1.21806,1.71965,1.32774,0.00126542,0.00126542,0.00126542
75,208.019,0.84209,0.86336,1.05819,0.55168,0.71751,0.64905,0.37685,1.18023,1.64538,1.32005,0.00125992,0.00125992,0.00125992
76,210.574,0.78602,0.86998,1.06815,0.64841,0.74451,0.75059,0.52013,1.03579,1.49134,1.1306,0.00125442,0.00125442,0.00125442
77,213.145,0.84505,0.87499,1.07227,0.72159,0.672,0.74019,0.53004,0.99937,1.40252,1.09886,0.00124892,0.00124892,0.00124892
78,215.698,0.8893,0.93321,1.06839,0.56079,0.79395,0.68879,0.46665,1.05559,1.62144,1.13075,0.00124342,0.00124342,0.00124342
79,218.264,0.78487,0.82233,1.04381,0.74556,0.72402,0.80313,0.52369,1.18216,1.4244,1.20142,0.00123791,0.00123791,0.00123791
80,220.825,0.84743,0.79904,1.04949,0.6425,0.4738,0.41458,0.25677,1.35987,2.65516,1.37769,0.00123241,0.00123241,0.00123241
81,223.405,0.82163,0.84058,1.04071,0.76522,0.25824,0.27721,0.19314,1.59027,3.47141,1.679,0.00122691,0.00122691,0.00122691
82,225.951,0.83607,0.79675,1.06041,0.47255,0.10989,0.13735,0.10036,2.06276,5.1505,2.1782,0.00122141,0.00122141,0.00122141
83,228.509,0.82575,0.84835,1.08727,0.44749,0.10989,0.11411,0.0855,2.37353,5.2617,2.50289,0.00121591,0.00121591,0.00121591
84,231.089,0.78732,0.79281,1.04045,0.80091,0.21978,0.27443,0.17674,1.80742,3.45095,1.81468,0.00121041,0.00121041,0.00121041
85,233.721,0.80612,0.83674,1.03632,0.71814,0.53292,0.6356,0.41959,1.19396,2.12276,1.21331,0.00120491,0.00120491,0.00120491
86,236.267,0.81415,0.83501,1.0744,0.71437,0.7479,0.77332,0.55262,0.99271,1.55027,1.05095,0.00119941,0.00119941,0.00119941
87,238.848,0.84332,0.81445,1.06757,0.80171,0.65545,0.74951,0.55618,0.93482,1.64243,1.03448,0.00119391,0.00119391,0.00119391
88,241.408,0.77192,0.78447,1.02686,0.6669,0.60935,0.54458,0.39952,0.92667,2.08636,1.02542,0.0011884,0.0011884,0.0011884
89,243.975,0.80548,0.82437,1.03599,0.70418,0.54347,0.53281,0.38719,0.91027,2.23278,1.02216,0.0011829,0.0011829,0.0011829
90,246.558,0.77496,0.80256,1.03179,0.75193,0.54945,0.55068,0.4192,0.87654,2.13117,1.04718,0.0011774,0.0011774,0.0011774
91,249.134,0.84106,0.82309,1.04418,0.79826,0.6715,0.70638,0.5517,0.88826,1.58347,1.04173,0.0011719,0.0011719,0.0011719
92,251.716,0.80842,0.81741,1.09474,0.97111,0.69981,0.88224,0.64143,0.89459,1.12201,1.058,0.0011664,0.0011664,0.0011664
93,254.344,0.79466,0.77984,1.00987,0.8079,0.77747,0.85681,0.62139,0.92513,1.20776,1.07802,0.0011609,0.0011609,0.0011609
94,256.908,0.75854,0.7727,1.0155,0.78298,0.7848,0.82068,0.55793,0.98768,1.33431,1.0722,0.0011554,0.0011554,0.0011554
95,259.486,0.84187,0.82604,1.06036,0.86019,0.65049,0.83185,0.56852,1.00493,1.27192,1.07827,0.0011499,0.0011499,0.0011499
96,262.053,0.79084,0.77377,1.04567,0.85148,0.79756,0.87517,0.65878,0.89372,1.05747,1.00364,0.0011444,0.0011444,0.0011444
97,264.658,0.77963,0.76553,1.02372,0.91641,0.77473,0.89693,0.67938,0.90305,0.99415,1.00193,0.00113889,0.00113889,0.00113889
98,267.216,0.68227,0.76387,1.01396,0.81186,0.87098,0.89602,0.6617,0.99385,1.05012,1.0779,0.00113339,0.00113339,0.00113339
99,269.785,0.74143,0.78527,1.02664,0.83688,0.83353,0.84372,0.57128,1.08593,1.24067,1.17435,0.00112789,0.00112789,0.00112789
100,272.371,0.82713,0.82239,1.03437,0.89881,0.62363,0.73291,0.50456,1.0911,1.31121,1.20218,0.00112239,0.00112239,0.00112239
101,274.915,0.80267,0.76381,1.05644,0.89659,0.62363,0.74522,0.51612,1.09571,1.38309,1.22082,0.00111689,0.00111689,0.00111689
102,277.486,0.79496,0.75554,1.0118,0.8654,0.7255,0.80815,0.57944,0.97112,1.26961,1.08412,0.00111139,0.00111139,0.00111139
103,280.034,0.77432,0.73315,1.03361,0.86863,0.77561,0.82973,0.63261,0.87764,1.19526,1.04061,0.00110589,0.00110589,0.00110589
104,282.594,0.81407,0.75142,1.05722,0.86545,0.77198,0.80322,0.58137,0.92197,1.28325,1.0288,0.00110039,0.00110039,0.00110039
105,285.164,0.78972,0.75366,1.0129,0.84955,0.73626,0.74076,0.56012,0.93764,1.34778,1.03455,0.00109489,0.00109489,0.00109489
106,287.734,0.7904,0.73118,1.03946,0.87996,0.723,0.76816,0.57918,0.94651,1.30874,1.07226,0.00108938,0.00108938,0.00108938
107,290.29,0.79076,0.72804,1.02802,0.82918,0.78311,0.78879,0.62974,0.89755,1.18322,1.07161,0.00108388,0.00108388,0.00108388
108,292.871,0.77513,0.74987,1.019,0.85328,0.73626,0.78992,0.61084,0.89392,1.17427,1.05623,0.00107838,0.00107838,0.00107838
109,295.507,0.74146,0.69038,1.01962,0.88551,0.65074,0.7679,0.609,0.81863,1.14936,1.01358,0.00107288,0.00107288,0.00107288
110,298.114,0.68099,0.71285,0.99853,0.77683,0.72498,0.73925,0.57819,0.87086,1.28137,1.06046,0.00106738,0.00106738,0.00106738
111,300.782,0.76299,0.72775,1.04354,0.72791,0.6659,0.74061,0.55705,0.93907,1.487,1.11299,0.00106188,0.00106188,0.00106188
112,303.401,0.79687,0.76077,1.05372,0.84661,0.64587,0.74882,0.5055,1.03141,1.71981,1.23159,0.00105638,0.00105638,0.00105638
113,305.947,0.74737,0.74676,1.03117,0.77499,0.74684,0.74818,0.48686,1.09229,1.75963,1.28672,0.00105088,0.00105088,0.00105088
114,308.521,0.78718,0.79174,1.05817,0.84522,0.55894,0.71138,0.43705,1.15325,1.84615,1.31588,0.00104538,0.00104538,0.00104538
115,311.081,0.72593,0.67049,0.99468,0.64497,0.71714,0.70962,0.3948,1.28263,1.86101,1.36714,0.00103987,0.00103987,0.00103987
116,313.653,0.70493,0.72161,1.01006,0.74389,0.65127,0.68082,0.31071,1.43006,1.8622,1.40221,0.00103437,0.00103437,0.00103437
117,316.226,0.71795,0.70707,0.98952,0.73232,0.68951,0.64214,0.29537,1.51653,1.94492,1.4494,0.00102887,0.00102887,0.00102887
118,318.809,0.72166,0.69964,0.99732,0.69915,0.67899,0.58851,0.26699,1.54837,2.1911,1.47645,0.00102337,0.00102337,0.00102337
119,321.392,0.82852,0.75467,1.05434,0.51954,0.52288,0.52893,0.26409,1.55785,2.28437,1.44629,0.00101787,0.00101787,0.00101787
120,323.971,0.77548,0.73706,1.01908,0.69518,0.44855,0.57446,0.34795,1.40499,2.01322,1.33937,0.00101237,0.00101237,0.00101237
121,326.568,0.73522,0.65173,1.00979,0.72542,0.5403,0.63247,0.39257,1.30553,1.94837,1.36202,0.00100687,0.00100687,0.00100687
122,329.229,0.8741,0.69261,1.08222,0.69202,0.48515,0.66145,0.40688,1.35029,1.98099,1.38881,0.00100137,0.00100137,0.00100137
123,331.826,0.76565,0.6768,1.01587,0.53388,0.65934,0.6623,0.44242,1.30979,1.79843,1.35423,0.000995866,0.000995866,0.000995866
124,334.396,0.74353,0.63333,0.99405,0.71658,0.73246,0.73869,0.44238,1.3279,1.58288,1.26976,0.000990365,0.000990365,0.000990365
125,337.019,0.77142,0.70127,0.99182,0.79109,0.70914,0.76374,0.47052,1.16875,1.53319,1.16445,0.000984864,0.000984864,0.000984864
126,339.582,0.6603,0.64165,0.97849,0.77175,0.73624,0.79711,0.53172,1.06248,1.32959,1.13741,0.000979362,0.000979362,0.000979362
127,342.143,0.68252,0.64388,0.98265,0.80049,0.78756,0.84855,0.58879,0.99033,1.09262,1.10075,0.000973861,0.000973861,0.000973861
128,344.701,0.70384,0.64513,1.02833,0.71586,0.73901,0.76274,0.50558,1.02849,1.33098,1.15402,0.00096836,0.00096836,0.00096836
129,347.287,0.65802,0.62059,0.96714,0.74124,0.76408,0.7539,0.52603,1.04253,1.45221,1.18569,0.000962859,0.000962859,0.000962859
130,349.855,0.73933,0.71061,1.04471,0.82092,0.73457,0.73807,0.49259,0.97978,1.61997,1.13916,0.000957358,0.000957358,0.000957358
131,352.419,0.7206,0.63808,0.99052,0.81194,0.73352,0.70672,0.47066,0.9641,1.65269,1.07952,0.000951857,0.000951857,0.000951857
132,354.998,0.74784,0.73622,1.02971,0.81583,0.83444,0.84882,0.61706,0.85078,1.22997,0.9914,0.000946356,0.000946356,0.000946356
133,357.567,0.71724,0.66309,1.02913,0.8068,0.86672,0.90557,0.68698,0.81589,0.9247,0.95771,0.000940855,0.000940855,0.000940855
134,360.18,0.75044,0.65402,1.03915,0.87378,0.91487,0.93186,0.72913,0.75298,0.83507,0.93602,0.000935354,0.000935354,0.000935354
135,362.756,0.66716,0.65354,0.97784,0.87875,0.87798,0.92493,0.73809,0.71096,0.87737,0.92015,0.000929853,0.000929853,0.000929853
136,365.322,0.68964,0.65827,0.9873,0.85181,0.91032,0.94154,0.74221,0.6445,0.8338,0.90285,0.000924352,0.000924352,0.000924352
137,367.901,0.70013,0.64375,1.00748,0.78675,0.90685,0.94597,0.73149,0.66891,0.86447,0.90432,0.00091885,0.00091885,0.00091885
138,370.463,0.66561,0.639,0.97755,0.88636,0.79518,0.91336,0.70159,0.72459,0.90428,0.9096,0.000913349,0.000913349,0.000913349
139,373.021,0.73812,0.66626,1.04044,0.86888,0.81044,0.9081,0.69779,0.7577,0.92489,0.92887,0.000907848,0.000907848,0.000907848
140,375.646,0.67937,0.60597,0.99576,0.71916,0.89011,0.88669,0.70377,0.73816,0.93375,0.9308,0.000902347,0.000902347,0.000902347
141,378.212,0.71597,0.65226,1.01084,0.76473,0.81582,0.87381,0.69423,0.74808,1.02438,0.94014,0.000896846,0.000896846,0.000896846
142,380.78,0.69928,0.63609,1.02967,0.73718,0.81593,0.84098,0.67378,0.77115,1.12417,0.95751,0.000891345,0.000891345,0.000891345
143,383.362,0.74343,0.65848,1.09221,0.79139,0.79962,0.84409,0.66764,0.78165,1.11573,0.98018,0.000885844,0.000885844,0.000885844
144,385.959,0.65688,0.59961,0.97873,0.73918,0.90881,0.86739,0.67748,0.81316,0.97152,0.99235,0.000880343,0.000880343,0.000880343
145,388.548,0.63165,0.624,0.96854,0.87435,0.79063,0.85133,0.62656,0.84094,1.04644,1.00784,0.000874842,0.000874842,0.000874842
146,391.137,0.6644,0.61115,0.99471,0.82615,0.80929,0.85534,0.61568,0.91699,1.12308,1.04055,0.00086934,0.00086934,0.00086934
147,393.692,0.64566,0.60653,0.9785,0.87348,0.74102,0.84381,0.5809,1.00602,1.21965,1.07877,0.000863839,0.000863839,0.000863839
148,396.243,0.67626,0.62298,1.03596,0.79418,0.73926,0.81523,0.5369,1.14686,1.1895,1.1935,0.000858338,0.000858338,0.000858338
149,398.834,0.63444,0.5828,0.96257,0.71997,0.81817,0.84416,0.56961,1.08534,1.10114,1.16361,0.000852837,0.000852837,0.000852837
150,401.384,0.6028,0.61736,0.96591,0.85208,0.8464,0.8885,0.63177,0.95259,0.97813,1.07297,0.000847336,0.000847336,0.000847336
151,404.102,0.61745,0.59548,0.96441,0.84907,0.89011,0.91545,0.68436,0.8942,0.87338,1.05228,0.000841835,0.000841835,0.000841835
152,406.877,0.61977,0.58395,0.95833,0.95575,0.8506,0.91581,0.6915,0.92941,0.87377,1.05331,0.000836334,0.000836334,0.000836334
153,409.558,0.68236,0.59735,0.96215,0.94945,0.84888,0.91925,0.68302,0.95096,0.89249,1.05507,0.000830833,0.000830833,0.000830833
154,412.214,0.69799,0.63315,0.99599,0.94508,0.841,0.90821,0.69278,0.89651,0.87056,1.02516,0.000825332,0.000825332,0.000825332
155,414.851,0.68739,0.61726,0.98917,0.90806,0.87242,0.90661,0.69646,0.81226,0.83328,0.9668,0.000819831,0.000819831,0.000819831
156,417.407,0.59067,0.5646,0.98151,0.94332,0.79392,0.9058,0.72795,0.83423,0.83921,0.98366,0.000814329,0.000814329,0.000814329
157,419.998,0.64582,0.60145,0.98507,0.84648,0.82009,0.90441,0.70084,0.85488,0.88245,1.02957,0.000808828,0.000808828,0.000808828
